Gender_F,Race_BLACK,Age_at_Release_18-22,Age_at_Release_23-27,Age_at_Release_28-32,Age_at_Release_33-37,Age_at_Release_38-42,Age_at_Release_43-47,Age_at_Release_48 or older,Gang_Affiliated,Prior_Arrest_Episodes_Felony_high,Prior_Arrest_Episodes_Property_high,Prior_Arrest_Episodes_Drug_high,Prior_Conviction_Episodes_Felony_high,Percent_Days_Employed,Jobs_Per_Year,Avg_Days_per_DrugTest,DrugTests_Cocaine_Positive,Delinquency_Reports_high,Supervision_Risk_Score_First,Recidivism_Within_3years
False,True,False,False,False,False,False,True,False,False,1,0,0,1,0.488562092,0.447610294,612.0,0.0,0,3.0,False
False,True,False,False,False,True,False,False,False,False,1,0,0,1,0.425233645,2.0,35.66666667,0.0,1,6.0,True
False,True,False,False,False,False,False,False,True,False,1,0,0,1,0.0,0.0,93.66666667,0.0,1,7.0,True
False,False,False,False,False,False,True,False,False,False,1,0,0,1,1.0,0.718996063,25.4,0.0,0,7.0,False
False,False,False,False,False,True,False,False,False,False,1,0,0,0,0.203562341,0.929389313,23.11764706,0.0,0,4.0,True
False,False,False,False,False,False,True,False,False,False,1,0,0,0,0.674252002,0.30783818,474.6,0.0,0,5.0,False
False,True,False,False,False,False,False,False,True,False,1,1,0,1,0.0,0.0,238.5,0.0,0,2.0,True
False,True,False,False,False,False,True,False,False,False,1,0,0,0,0.469446441,0.525161754,34.775,0.0,0,5.0,False
True,True,False,False,False,False,False,True,False,True,1,1,0,0,0.0,0.0,29.525558338,0.002167627,0,7.0,True
False,True,False,False,False,False,False,True,False,False,1,1,0,1,0.35971223,1.0,27.8,0.0,0,5.0,True
False,False,False,False,False,False,False,True,False,False,0,0,0,0,1.0,3.413551402,42.8,0.0,0,3.0,True
False,True,False,False,False,True,False,False,False,False,1,0,0,1,0.0,0.0,8.04,0.0,1,5.0,True
False,False,False,False,False,True,False,False,False,False,1,0,0,1,0.0,0.0,98.75,0.0,0,7.0,False
False,True,False,False,False,True,False,False,False,False,1,0,0,0,0.338926174,0.61283557,74.5,0.0,0,4.0,False
False,True,False,False,False,False,True,False,False,False,1,0,0,1,0.545851528,2.0,114.5,0.0,0,6.0,True
False,True,False,False,False,False,False,False,True,False,1,1,0,1,0.918575064,0.464694656,43.66666667,0.0,1,7.0,False
False,False,False,False,False,False,False,False,True,False,1,1,0,0,0.794736842,0.320394737,228.0,0.0,1,3.0,True
False,True,False,False,False,True,False,False,False,False,1,0,1,0,1.0,3.196936543,22.85,0.0,0,5.0,False
False,True,False,False,False,False,True,False,False,False,1,0,1,1,0.196428571,0.931760204,196.0,0.0,0,5.0,True
False,False,False,False,False,False,False,False,True,False,1,0,0,1,0.806451613,1.0,31.0,0.0,1,2.0,False
False,False,False,False,False,False,False,False,True,False,1,1,0,1,0.0,0.0,43.14285714,0.0,0,3.0,True
False,True,False,False,False,False,False,True,False,False,1,1,0,0,0.895355344,0.204392837,357.4,0.0,0,6.0,False
False,True,True,False,False,False,False,False,False,False,1,0,0,0,0.0,0.0,1087.0,0.0,0,10.0,True
False,False,False,False,False,False,False,True,False,False,1,1,0,1,0.714285714,1.0,23.8,0.0,1,10.0,True
False,False,False,False,False,False,False,True,False,True,1,0,0,1,0.0,0.0,101.0,0.0,0,8.0,True
True,False,False,False,False,False,True,False,False,True,1,1,1,0,0.0,0.0,44.625,0.0,0,10.0,True
False,False,False,False,False,True,False,False,False,False,1,0,0,1,0.0,0.0,12.71428571,0.0,1,4.0,True
False,True,False,False,False,False,False,False,True,False,1,1,0,1,0.654098361,0.598770492,27.72727273,0.227272734,1,2.0,False
False,True,False,False,False,True,False,False,False,True,1,1,0,0,0.0,0.0,71.06666667,0.0,1,6.0,True
False,True,False,False,False,True,False,False,False,False,1,0,0,1,1.0,1.0,13.16666667,0.0,0,3.0,True
True,True,False,False,False,False,True,False,False,False,0,0,0,0,0.981412639,1.0,83.799515302,2.283e-05,0,2.0,False
False,False,False,False,False,True,False,False,False,False,1,1,0,1,1.0,1.0,16.28571429,0.0,1,10.0,True
False,True,False,False,False,False,False,False,True,False,1,0,0,0,0.886446886,2.0,136.5,0.0,0,3.0,False
False,False,False,False,False,True,False,False,False,False,1,0,0,1,0.0,0.0,145.5,0.0,1,9.0,True
False,True,False,False,False,False,True,False,False,False,1,0,0,0,0.50617284,1.288359788,25.77272727,0.0,0,4.0,True
False,False,False,False,False,False,True,False,False,False,1,0,0,0,0.985765125,0.433274021,16.86,0.0,1,4.0,False
False,False,False,False,False,False,True,False,False,False,0,0,0,0,1.0,1.493865031,97.8,0.0,0,3.0,False
False,False,False,False,False,True,False,False,False,False,1,0,0,1,0.734756098,2.0,109.3333333,0.0,0,4.0,True
False,True,False,False,False,False,True,False,False,False,1,0,0,1,1.0,2.292364017,50.31578947,0.0,0,9.0,False
True,False,False,False,False,False,False,True,False,False,1,1,1,1,0.064458371,0.326991943,33.84848485,0.0,1,7.0,False
False,False,False,False,False,True,False,False,False,False,1,1,0,1,0.0,0.0,58.670020849,0.056414343,1,9.0,True
False,False,True,False,False,False,False,False,False,False,1,0,0,1,0.286259542,2.091125954,15.87878788,0.0,1,8.0,True
False,True,False,False,False,False,True,False,False,False,1,1,0,1,0.945794393,0.34135514,36.89655172,0.0,0,5.0,False
False,True,False,True,False,False,False,False,False,False,1,0,0,0,0.0,0.0,858.0,0.0,1,8.0,True
False,False,False,False,False,True,False,False,False,False,1,0,0,0,0.816425121,2.0,29.142946218,0.000145441,0,7.0,True
False,True,False,False,False,False,True,False,False,False,1,1,0,0,0.0,0.0,115.7142857,0.0,1,5.0,True
False,True,False,False,False,True,False,False,False,False,1,0,1,1,0.211466165,0.343280075,532.0,0.0,0,7.0,True
False,False,False,False,False,False,False,True,False,False,1,0,1,1,0.0,0.0,12.21621622,0.0,0,6.0,True
False,True,False,False,False,True,False,False,False,False,1,0,1,0,0.220647773,0.24645749,78.0,0.0,0,9.0,False
False,True,False,False,False,False,False,True,False,False,1,1,1,0,0.314496314,0.897420147,135.6666667,0.0,0,3.0,False
True,False,False,False,False,False,False,True,False,False,1,1,0,0,0.954819277,0.550075301,33.2,0.0,0,7.0,False
True,False,False,False,False,False,False,False,True,True,1,0,0,1,0.254104769,0.285574668,159.875,0.125,1,7.0,True
False,True,False,False,False,True,False,False,False,True,1,1,0,1,0.0,0.0,22.5,0.0,0,10.0,True
