usage_hours,baseline_error,patch_v1,post_patch_error,patch_v2,failure,random_noise
3714,1,0,1,1,0,1.3687154884890238
1342,1,1,0,1,1,0.9609018556479767
2159,0,0,1,0,0,1.0277995822041093
3586,0,1,1,1,0,-0.7989496958369011
4432,1,0,1,0,0,0.21406957149030037
3910,1,0,1,0,1,-1.4241597145707776
4000,0,0,0,0,1,0.16891501285878685
2705,0,0,1,0,0,1.388784507474798
4842,1,0,1,0,0,1.4198371233940745
3134,0,0,0,0,0,2.03044866764353
4668,1,0,0,0,0,0.9891780243461133
4307,1,0,1,0,0,0.47574905587725336
4151,1,0,1,0,0,0.8747231824021344
3463,0,0,0,0,0,0.6805741596518721
4121,0,0,0,0,1,-0.8072542474115357
1945,1,1,0,1,0,-1.515329980566093
482,1,0,0,1,1,0.8827587194197523
4212,1,0,1,0,0,2.093348260558523
4688,0,0,1,0,0,0.9239714278716225
3910,0,1,0,0,0,-1.8887237159105552
1996,0,0,0,0,1,-0.5193018440390127
1609,1,0,1,0,0,-0.1966927698722249
4312,0,0,0,0,1,-1.856043326869454
1678,0,0,1,1,1,-1.3768970417896995
979,0,0,0,0,1,-0.03707549416747282
2262,0,0,1,0,0,0.2616343777027056
1672,1,0,1,0,1,-0.9860141426997233
1748,1,1,0,0,1,-1.422939640543623
4839,0,0,0,0,1,1.1933058792174351
1459,0,0,0,1,0,-0.3825288583789756
4531,0,1,0,0,0,-0.2394121756845325
3069,0,1,0,1,0,-0.5466702424899409
4060,0,0,0,0,0,-0.7711752924501525
3911,1,0,1,0,0,1.3027832768210437
4342,0,0,1,0,0,-0.879796345370419
4317,0,0,0,0,1,0.17968349257726401
180,0,0,0,0,1,0.008704329651232726
2832,1,1,1,1,0,-1.9481737788572926
2809,1,0,0,0,1,0.24094688199931794
2522,1,0,0,1,1,-1.5439688984752336
3741,1,0,1,0,1,0.6354601088299121
4699,1,0,0,0,1,-1.1864165297170102
767,0,1,0,0,0,0.5220186105991496
2596,1,0,1,1,1,-0.42950584473677855
3599,0,1,1,1,0,-0.674324747202384
3598,0,0,0,1,0,0.21056645731155904
1544,1,0,0,0,1,-1.4718590677176215
1445,0,0,1,0,1,-0.06922065896326182
1289,1,1,1,1,0,0.7822500399402454
558,0,1,1,1,0,1.0426044316244578
1312,1,0,1,1,0,-0.46263091372378906
4659,1,0,1,1,0,-0.3166523005073944
1011,1,0,0,0,0,-1.4919024626931252
1125,1,0,0,0,1,-0.7507131618806316
2511,1,0,0,0,0,-1.5601105069095194
171,1,0,0,1,0,0.44007359523518
2785,0,0,1,0,0,0.8421667197294037
1293,0,0,1,0,0,-0.45422417181626934
1948,1,0,1,0,0,-1.0582321486945814
2484,1,0,1,0,0,0.3081917735796738
2122,1,1,1,0,0,-0.8679657064849227
3841,1,0,1,0,0,0.6719388688465955
4848,1,0,1,0,0,1.935430282703556
1398,0,0,0,0,0,-0.8844330597014215
4202,0,0,1,0,0,-0.7416756028903475
1004,0,1,1,0,0,-1.4595707015429282
3126,0,0,1,0,0,0.1461090933278769
2128,1,0,1,0,0,0.07812406859813241
4811,1,0,0,0,0,-0.27055929606270246
2720,1,0,0,0,0,0.01614704755227157
2746,0,0,0,0,1,-1.0436749820551623
4965,0,0,0,0,0,-1.6631996768041108
2389,0,0,0,0,0,-0.7590697760905438
3972,1,0,0,0,0,-1.9155227160731017
1585,0,0,1,1,1,-0.8845282299286947
3251,0,0,0,0,0,0.30972744099116595
1540,0,1,1,1,1,0.05966518564654772
865,0,0,0,0,1,-1.7737827304137554
4579,1,0,1,0,0,1.0493465455970319
2538,0,0,0,0,0,-0.19457089747752848
4192,0,0,0,0,1,-1.2993236017827896
4883,0,0,0,0,0,-0.36435490988652924
1249,0,0,0,0,1,-0.5830117488090282
3665,1,1,0,0,0,-0.8677387031412905
4242,1,0,1,0,0,0.8125927038575976
2072,0,0,1,1,1,-1.106324979567164
2766,1,0,1,0,1,0.1846461585032021
563,0,0,0,0,0,-1.3413181900608007
4318,1,0,0,1,1,-0.036896093092713675
2281,0,0,0,0,1,0.26542268124797747
1742,0,0,1,0,0,0.2673382800864504
3988,1,1,1,0,1,0.08080613870723939
940,1,1,0,0,1,-0.23901524973792063
2754,1,1,1,1,1,-1.0640941514271003
4218,0,0,1,0,0,-1.0525517893468734
665,0,0,1,1,1,0.298828801411863
1064,1,0,0,1,1,-1.261408837003579
2382,0,0,0,0,0,-1.4907074276490448
1095,0,0,1,0,0,1.4297698159135177
1287,0,1,0,0,1,-0.25971689701495076
4411,0,0,0,0,0,0.6350146860713466
3354,0,0,0,0,1,0.873488212885673
756,0,1,0,0,1,0.05112699413142872
3082,0,0,1,0,0,-0.37677671285964215
1213,1,0,0,0,0,-0.3597852173043724
4506,0,0,1,0,0,1.6080305722689119
656,0,1,0,1,1,-0.5588078311279582
3119,1,1,1,0,0,0.17643184576696977
2404,1,0,0,0,0,0.6773191465991114
2680,0,1,0,1,0,0.25070977785741705
151,1,1,0,0,0,1.0843836312608062
1461,0,0,1,0,0,-0.38661601366278875
1294,1,1,0,0,0,0.6733501894090704
4119,0,0,1,0,1,-1.7946087418425432
3238,0,0,1,0,1,1.3469154638699954
1748,1,0,1,0,0,1.1231501004816988
771,1,0,1,0,0,-0.3044259788048437
877,0,1,0,1,0,0.4388384367564401
2379,0,0,0,0,1,0.8910649694624702
3122,0,0,1,0,0,-1.037752927939171
1960,1,1,1,0,1,-0.14452609556268733
3239,0,1,0,0,1,-1.3057499772415522
1174,0,0,1,0,0,1.1384164263603764
1816,0,1,0,1,1,0.8227606208291642
1383,1,1,1,0,0,-0.2809489161478447
4786,1,1,1,0,1,-0.39691329915438867
2086,1,1,1,1,1,-0.148956560834947
2733,0,0,1,0,0,-0.8972573350758664
1101,1,0,1,1,0,-0.17403757636148628
1146,1,1,1,1,1,-1.0377307779842366
2276,1,0,0,0,0,0.898331116178841
2438,0,1,0,0,1,1.1369357065545949
1955,0,1,0,1,1,0.9451929880127986
600,1,1,1,1,1,-1.194199839486084
2333,0,0,1,0,1,-0.20845077826930306
4674,1,0,1,0,0,0.5847290911425383
2639,1,0,0,0,1,0.7687580372209125
4708,1,0,0,0,1,-1.8388648340477687
3814,1,0,1,1,1,0.7404896004105328
2432,1,0,1,0,0,-1.243268208639289
700,0,0,0,0,1,-0.15396438063644957
4384,0,0,1,0,0,1.2574876575894556
1088,0,1,1,1,1,1.1220703448967464
1981,1,0,1,0,0,1.326130189747805
4583,0,0,0,0,0,-1.0662703713871013
1854,0,0,0,0,0,-0.8192902855764191
2564,1,0,0,0,1,-0.5628010425379996
2323,1,1,0,0,1,-0.14644057871469274
4582,1,0,1,1,1,0.21670114480656788
1594,1,1,0,0,0,1.2772549509740896
952,1,1,1,1,1,-0.9286121331689943
551,1,1,0,0,0,-0.6288531865427839
2424,1,0,1,1,0,1.423641070036729
1858,1,1,1,1,0,-1.1590478764405308
4408,1,0,1,0,1,0.7268524990705022
3453,1,1,0,0,0,-0.08864778279769787
4236,1,0,0,0,0,0.3880737337864254
4795,0,0,0,0,0,-0.811371103022795
3438,0,0,1,0,0,0.7071762874138633
2688,0,1,0,0,0,-0.6542084695327084
1882,0,0,1,1,0,-1.4195989634559774
3620,0,0,0,0,1,0.4800391512100673
1879,0,0,1,1,0,-2.503088723489597
3232,0,0,0,0,1,-0.5680018201182806
3673,1,1,0,0,0,0.2911380980352713
3318,1,0,0,0,1,0.75778014437391
3857,0,0,1,0,0,1.226519196251551
4116,1,1,0,0,0,1.7775448834776502
2937,1,1,1,0,0,1.4717482197188148
2481,1,0,1,1,0,0.19154795349893228
4339,1,1,0,0,1,1.1256177773328855
4036,0,0,0,0,0,0.17611311760952378
4528,0,0,1,0,0,0.6859056264622684
1519,0,1,0,0,0,-0.5993464151891469
4250,0,0,0,1,1,0.4620758159981403
1430,1,0,1,0,0,-0.4732462222773946
3017,0,0,0,0,1,-0.1735440725217398
1546,0,1,1,1,0,0.46522889645946347
1540,0,0,1,0,0,2.0913790773911662
3844,0,0,1,0,0,0.3947704003001966
2944,1,0,1,0,0,-0.011707933512501998
4275,1,0,1,1,0,-0.8317762096959004
964,0,1,1,0,0,0.8962015846706358
571,0,1,1,1,0,-0.3354599969095467
1602,0,0,0,1,0,0.37415265898707617
4784,0,0,1,0,1,0.7019422588004034
1510,1,0,0,0,0,1.264109108562502
3870,0,0,1,0,0,0.8423724790196542
2005,1,1,0,0,0,-1.2234580325065645
