diet_adherence,weight_loss_success,exercise_regularly,age_old,caffeine_intake,screen_time,income
1,1,1,0,1,1,Low
0,1,0,1,1,0,Low
1,1,1,0,1,1,High
0,0,1,1,0,0,High
1,0,0,0,0,1,Low
0,1,0,0,1,1,High
0,0,0,1,1,1,High
1,1,1,0,0,0,High
0,0,0,1,0,0,Low
0,1,0,0,0,0,High
1,1,1,1,1,0,Low
0,1,1,1,1,0,High
0,0,0,1,1,1,Low
1,0,1,1,1,1,Low
1,1,1,0,1,0,High
0,1,1,1,0,0,Low
0,1,1,0,0,0,Low
1,0,0,1,1,0,Low
0,1,1,1,0,1,Low
1,1,1,0,0,1,High
1,1,1,0,0,1,High
1,0,0,0,1,0,High
1,1,0,0,0,1,Low
1,1,1,0,0,0,Low
0,1,0,1,0,0,High
1,0,0,0,0,0,Low
1,1,1,0,0,0,High
1,0,1,0,0,1,High
1,1,1,0,0,1,High
1,1,1,0,1,0,Low
1,1,1,0,1,1,High
1,1,1,0,1,0,High
0,1,1,0,1,0,Low
0,1,0,1,1,0,High
0,0,0,1,1,1,High
1,1,0,0,1,1,High
0,0,0,1,0,1,High
1,1,1,1,0,1,Low
1,1,0,0,0,1,Low
0,1,1,0,0,0,High
0,1,1,1,1,0,High
0,1,1,1,0,0,Low
0,1,0,0,1,1,High
1,1,1,0,0,0,Low
0,0,0,0,0,1,Low
0,1,1,0,0,0,High
0,0,0,0,1,1,Low
1,1,1,0,1,0,High
0,0,0,0,0,0,Low
0,0,0,1,1,0,Low
0,0,0,1,1,1,High
1,0,0,1,1,1,Low
1,1,1,0,0,0,High
0,1,0,1,1,0,Low
0,1,0,0,0,0,Low
0,1,1,1,1,1,Low
1,1,1,0,1,0,High
0,1,0,0,0,0,Low
1,1,1,0,1,0,Low
0,0,0,1,0,1,Low
1,1,1,1,0,1,High
1,1,1,1,1,1,High
0,1,1,0,0,1,High
1,1,1,0,1,1,High
0,0,0,0,0,0,Low
1,0,0,1,0,0,Low
0,0,0,1,0,0,High
0,1,0,0,0,1,High
1,0,0,1,1,1,Low
0,1,1,0,1,1,High
0,0,0,1,1,0,High
0,1,0,1,1,0,Low
0,0,0,1,1,1,High
0,0,1,1,1,0,Low
1,1,0,0,0,0,High
0,0,0,1,0,0,High
1,1,1,0,0,1,Low
1,1,1,0,0,0,Low
0,1,1,1,0,0,High
1,0,0,0,1,0,Low
0,0,1,1,0,1,Low
0,0,1,1,0,0,Low
0,0,1,1,0,0,Low
0,0,0,1,1,1,Low
0,0,0,1,0,1,High
0,0,0,1,0,0,High
0,1,0,0,1,0,High
1,1,0,0,0,0,High
1,1,1,0,0,1,High
1,1,1,0,0,0,High
0,1,0,0,0,1,Low
0,0,0,1,0,1,High
1,1,0,0,1,1,High
0,1,1,1,1,0,Low
0,1,0,1,0,1,Low
0,0,0,1,0,0,Low
0,0,1,0,1,0,High
0,1,0,0,0,0,Low
0,0,0,1,1,0,Low
1,1,1,0,1,1,High
1,1,1,1,0,1,Low
1,1,1,0,1,1,Low
0,0,0,0,0,1,High
1,1,0,0,1,0,High
1,1,1,1,1,0,Low
0,1,1,0,1,1,Low
1,1,1,1,1,1,High
0,1,0,1,1,1,Low
0,1,0,0,1,1,Low
0,1,1,0,1,0,High
1,0,0,1,0,1,Low
1,1,1,1,0,1,Low
0,0,1,1,0,1,Low
0,0,0,1,0,1,Low
0,1,0,1,1,0,Low
0,0,0,0,0,1,Low
0,0,0,1,1,0,High
0,1,0,0,0,0,High
1,1,1,0,0,0,Low
0,1,0,0,1,0,Low
0,1,0,0,0,0,High
1,1,1,0,0,1,High
0,0,0,1,0,0,Low
1,0,1,1,0,1,High
1,1,0,0,1,0,Low
1,1,1,1,1,1,High
0,0,0,0,0,0,High
1,0,0,0,0,1,High
1,1,1,1,1,1,Low
0,0,0,1,0,1,Low
0,1,0,1,0,1,Low
0,0,1,0,0,0,Low
0,0,0,1,0,0,High
0,0,0,1,1,0,High
0,1,1,0,0,1,Low
1,1,1,0,0,0,High
1,1,1,0,1,1,High
0,1,1,1,0,1,High
0,1,0,1,1,1,High
0,1,1,0,0,1,High
1,0,1,0,1,0,Low
1,1,1,1,0,1,High
1,0,1,1,0,0,Low
1,1,1,0,1,1,Low
1,0,1,1,0,1,Low
0,1,1,0,0,1,High
0,0,0,0,0,1,Low
1,0,0,0,0,0,High
0,1,1,0,0,1,Low
1,1,0,0,0,1,Low
1,1,0,0,0,1,High
0,0,0,0,1,0,High
1,1,1,0,0,1,Low
1,1,1,1,0,0,Low
0,0,0,1,1,1,High
1,0,1,1,1,1,High
1,1,1,1,0,1,High
1,1,1,0,1,1,Low
0,0,0,1,1,0,High
0,1,0,0,0,1,Low
0,0,0,0,0,0,High
0,1,0,0,1,1,Low
0,0,0,1,0,1,High
0,0,0,0,1,1,High
1,0,1,1,1,1,High
0,1,1,0,0,1,High
0,0,0,1,1,0,High
0,0,0,1,1,1,High
1,1,1,0,1,1,High
1,0,1,1,1,0,Low
1,1,1,0,1,0,Low
1,1,1,0,0,0,High
0,1,1,1,0,1,Low
1,0,1,0,1,1,Low
1,0,1,1,0,1,High
0,1,0,1,0,0,Low
1,1,1,0,1,0,High
1,1,0,0,0,0,Low
1,0,0,1,0,0,Low
1,1,1,0,0,1,Low
1,0,0,0,0,0,Low
0,1,1,0,0,1,High
1,0,0,0,1,0,Low
0,0,0,1,0,1,Low
0,0,1,1,0,0,High
1,1,1,1,1,1,High
0,0,0,1,1,0,High
0,0,0,1,0,1,Low
0,1,0,1,0,1,High
0,0,0,0,0,0,High
0,0,0,0,0,1,High
1,1,1,0,0,0,Low
0,0,0,0,0,1,Low
0,0,0,1,1,1,High
1,1,1,1,1,1,High
