Gender,Race,Age_at_Release,Residence_PUMA,Gang_Affiliated,Supervision_Risk_Score_First,Supervision_Level_First,Education_Level,Dependents,Prison_Offense,Prison_Years,Prior_Arrest_Episodes_Felony,Prior_Arrest_Episodes_Misd,Prior_Arrest_Episodes_Violent,Prior_Arrest_Episodes_Property,Prior_Arrest_Episodes_Drug,Prior_Arrest_Episodes_PPViolationCharges,Prior_Arrest_Episodes_DVCharges,Prior_Arrest_Episodes_GunCharges,Prior_Conviction_Episodes_Felony,Prior_Conviction_Episodes_Misd,Prior_Conviction_Episodes_Viol,Prior_Conviction_Episodes_Prop,Prior_Conviction_Episodes_Drug,Prior_Conviction_Episodes_PPViolationCharges,Prior_Conviction_Episodes_DomesticViolenceCharges,Prior_Conviction_Episodes_GunCharges,Prior_Revocations_Parole,Prior_Revocations_Probation,Condition_MH_SA,Condition_Cog_Ed,Condition_Other,Violations_ElectronicMonitoring,Violations_Instruction,Violations_FailToReport,Violations_MoveWithoutPermission,Delinquency_Reports,Program_Attendances,Program_UnexcusedAbsences,Residence_Changes,Avg_Days_per_DrugTest,DrugTests_THC_Positive,DrugTests_Cocaine_Positive,DrugTests_Meth_Positive,DrugTests_Other_Positive,Percent_Days_Employed,Jobs_Per_Year,Employment_Exempt,Recidivism_Within_3years,Recidivism_Arrest_Year1,Recidivism_Arrest_Year2,Recidivism_Arrest_Year3,Avg_Days_per_DrugTest_Missing,DrugTests_THC_Positive_Missing,Prison_Offense_Missing
M,BLACK,43-47,16,False,3.0,Standard,At least some college,3 or more,Drug,More than 3 years,6,6 or more,1,3,3,4,False,False,3 or more,3,False,2,2 or more,False,False,False,False,False,True,True,False,False,False,False,False,0,6,0,2,612.0,0.0,0.0,0.0,0.0,0.488562092,0.447610294,False,False,False,False,False,0,0,0
M,BLACK,33-37,16,False,6.0,Specialized,Less than HS diploma,1,Violent/Non-Sex,More than 3 years,7,6 or more,3 or more,0,3,5 or more,True,False,3 or more,4 or more,True,0,2 or more,True,True,True,False,False,False,False,False,False,True,False,False,4 or more,0,0,2,35.66666667,0.0,0.0,0.0,0.0,0.425233645,2.0,False,True,False,False,True,0,0,0
M,BLACK,48 or older,24,False,7.0,High,At least some college,3 or more,Drug,1-2 years,6,6 or more,3 or more,2,2,5 or more,True,False,3 or more,2,True,1,2 or more,False,True,False,False,False,True,True,False,False,True,False,True,4 or more,6,0,0,93.66666667,0.333333343,0.0,0.166666672,0.0,0.0,0.0,False,True,False,True,False,0,0,0
M,WHITE,38-42,16,False,7.0,High,Less than HS diploma,1,Property,1-2 years,8,6 or more,0,3,3,3,False,False,3 or more,4 or more,False,3 or more,2 or more,False,False,False,False,True,True,True,False,False,False,False,False,0,6,0,3 or more,25.4,0.0,0.0,0.0,0.0,1.0,0.718996063,False,False,False,False,False,0,0,0
M,WHITE,33-37,16,False,4.0,Specialized,Less than HS diploma,3 or more,Violent/Non-Sex,1-2 years,4,4,3 or more,2,1,3,True,False,1,0,True,0,1,False,False,False,False,False,True,True,True,False,False,False,False,0,7,0,0,23.11764706,0.0,0.0,0.05882353,0.0,0.203562341,0.929389313,False,True,True,False,False,0,0,0
M,WHITE,38-42,17,False,5.0,Standard,High School Diploma,0,Property,More than 3 years,4,0,1,3,0,0,False,False,1,0,False,2,0,False,False,False,False,False,False,False,True,False,False,False,True,0,0,0,3 or more,474.6,0.0,0.0,0.0,0.0,0.674252002,0.30783818,False,False,False,False,False,0,0,0
M,BLACK,48 or older,18,False,2.0,Standard,Less than HS diploma,2,Violent/Non-Sex,Less than 1 year,10 or more,6 or more,1,5 or more,1,5 or more,False,True,3 or more,1,False,3 or more,0,True,False,True,False,False,False,False,False,False,False,False,False,0,0,0,1,238.5,0.0,0.0,0.0,0.0,0.0,0.0,False,True,False,False,True,0,0,1
M,BLACK,38-42,16,False,5.0,High,High School Diploma,3 or more,Drug,Greater than 2 to 3 years,6,6 or more,3 or more,1,2,5 or more,False,False,1,4 or more,True,0,2 or more,True,False,False,False,False,False,True,False,False,False,False,False,0,0,0,0,34.775,0.0,0.0,0.0,0.0,0.469446441,0.525161754,False,False,False,False,False,0,0,0
F,BLACK,43-47,5,True,7.0,High,High School Diploma,0,Drug,Less than 1 year,10 or more,4,2,5 or more,3,3,False,False,2,4 or more,False,3 or more,2 or more,True,False,False,False,True,True,False,False,False,False,False,False,0,0,0,0,29.525558338,0.024300615,0.002167627,0.001813576,0.097695965,0.0,0.0,True,True,True,False,False,1,1,0
M,BLACK,43-47,16,False,5.0,Standard,High School Diploma,3 or more,Property,More than 3 years,10 or more,6 or more,3 or more,5 or more,2,5 or more,True,True,3 or more,4 or more,True,3 or more,2 or more,True,True,True,False,False,False,True,True,False,False,False,False,0,0,0,0,27.8,0.0,0.0,0.0,0.0,0.35971223,1.0,False,True,True,False,False,0,0,0
M,WHITE,43-47,5,False,3.0,Specialized,Less than HS diploma,1,Violent/Non-Sex,1-2 years,3,6 or more,2,1,1,3,True,False,0,3,False,0,0,True,False,False,True,False,True,True,False,True,True,False,False,0,9,2,2,42.8,0.300000012,0.0,0.300000012,0.0,1.0,3.413551402,True,True,False,True,False,0,0,0
M,BLACK,33-37,16,False,5.0,Specialized,High School Diploma,3 or more,Other,1-2 years,10 or more,1,1,1,2,3,False,False,3 or more,1,False,0,2 or more,False,False,False,False,True,True,True,True,False,True,False,False,4 or more,10 or more,0,0,8.04,0.039999999,0.0,0.079999998,0.0,0.0,0.0,True,True,True,False,False,0,0,0
M,WHITE,33-37,5,False,7.0,Standard,Less than HS diploma,1,Violent/Non-Sex,Greater than 2 to 3 years,9,3,2,2,4,4,False,True,3 or more,2,True,1,1,True,False,False,False,False,True,True,True,False,False,False,False,0,6,0,1,98.75,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,False,False,0,0,0
M,BLACK,33-37,3,False,4.0,Standard,Less than HS diploma,3 or more,Drug,More than 3 years,4,6 or more,0,0,3,4,False,True,2,4 or more,False,0,2 or more,True,False,False,False,False,True,True,False,False,False,True,False,0,2,0,0,74.5,0.0,0.0,0.0,0.0,0.338926174,0.61283557,False,False,False,False,False,0,0,1
M,BLACK,38-42,16,False,6.0,High,Less than HS diploma,3 or more,Property,1-2 years,10 or more,5,2,3,3,4,True,False,3 or more,4 or more,True,1,2 or more,True,False,False,False,True,True,True,False,False,False,False,False,0,10 or more,0,0,114.5,0.0,0.0,0.0,0.0,0.545851528,2.0,False,True,True,False,False,0,0,0
M,BLACK,48 or older,12,False,7.0,High,At least some college,3 or more,Property,More than 3 years,10 or more,4,0,5 or more,0,5 or more,False,False,3 or more,3,False,2,0,True,False,False,False,False,False,True,False,False,False,False,False,3,0,0,2,43.66666667,0.0,0.0,0.0,0.0,0.918575064,0.464694656,False,False,False,False,False,0,0,0
M,WHITE,48 or older,16,False,3.0,Standard,Less than HS diploma,0,Property,1-2 years,10 or more,6 or more,0,5 or more,1,5 or more,False,True,2,4 or more,False,3 or more,0,True,False,True,True,True,True,True,False,False,False,False,False,4 or more,0,0,1,228.0,0.0,0.0,0.0,0.0,0.794736842,0.320394737,False,True,False,False,True,0,0,0
M,BLACK,33-37,16,False,5.0,Standard,Less than HS diploma,3 or more,Drug,1-2 years,10 or more,6 or more,0,1,5 or more,5 or more,False,False,2,4 or more,False,0,2 or more,True,False,False,False,True,True,True,False,False,False,False,False,0,6,0,0,22.85,0.050000001,0.0,0.0,0.0,1.0,3.196936543,False,False,False,False,False,0,0,0
M,BLACK,38-42,18,False,5.0,Standard,Less than HS diploma,3 or more,Drug,Less than 1 year,10 or more,6 or more,3 or more,1,5 or more,5 or more,True,False,3 or more,4 or more,True,1,2 or more,True,False,False,False,True,False,False,False,False,False,False,False,0,0,0,1,196.0,0.0,0.0,0.0,0.0,0.196428571,0.931760204,False,True,True,False,False,0,0,0
M,WHITE,48 or older,14,False,2.0,Specialized,Less than HS diploma,0,Drug,1-2 years,9,6 or more,0,0,2,5 or more,False,False,3 or more,4 or more,False,0,2 or more,True,False,False,False,False,True,False,True,False,False,False,False,4 or more,6,0,0,31.0,0.0,0.0,0.0,0.0,0.806451613,1.0,False,False,False,False,False,0,0,0
M,WHITE,48 or older,23,False,3.0,Standard,Less than HS diploma,0,Other,1-2 years,10 or more,6 or more,3 or more,5 or more,1,5 or more,False,False,3 or more,4 or more,True,3 or more,1,True,False,False,False,False,True,True,False,False,False,False,False,0,5,3 or more,1,43.14285714,0.0,0.0,0.0,0.0,0.0,0.0,False,True,False,True,False,0,0,0
M,BLACK,43-47,6,False,6.0,High,High School Diploma,0,Property,Greater than 2 to 3 years,7,6 or more,0,5 or more,0,2,False,True,2,3,False,3 or more,0,True,False,False,False,False,True,True,False,False,False,False,False,0,0,0,3 or more,357.4,0.0,0.0,0.0,0.0,0.895355344,0.204392837,True,False,False,False,False,0,0,0
M,BLACK,18-22,2,False,10.0,Specialized,Less than HS diploma,0,Property,1-2 years,5,2,0,2,4,1,False,False,0,0,False,0,0,False,False,False,False,False,True,False,True,False,False,False,False,0,0,0,3 or more,1087.0,1.0,0.0,0.0,0.0,0.0,0.0,False,True,True,False,False,0,0,0
M,WHITE,43-47,14,False,10.0,Specialized,At least some college,0,Property,1-2 years,10 or more,6 or more,3 or more,5 or more,0,5 or more,True,True,3 or more,4 or more,False,3 or more,0,True,False,False,False,True,True,False,True,False,True,False,False,4 or more,2,0,0,23.8,0.0,0.0,0.200000003,0.200000003,0.714285714,1.0,False,True,True,False,False,0,0,0
M,WHITE,43-47,25,True,8.0,Standard,High School Diploma,1,Drug,1-2 years,10 or more,2,3 or more,4,2,5 or more,False,True,3 or more,3,True,1,2 or more,True,False,True,False,False,True,True,False,False,False,False,False,0,6,2,0,101.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,False,True,False,0,0,0
F,WHITE,38-42,12,True,10.0,Specialized,At least some college,3 or more,Property,1-2 years,10 or more,6 or more,0,5 or more,5 or more,5 or more,False,False,1,4 or more,False,3 or more,2 or more,True,False,False,False,True,True,False,False,False,False,False,False,0,6,0,0,44.625,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,False,False,0,0,0
M,WHITE,33-37,14,False,4.0,Standard,Less than HS diploma,0,Drug,Less than 1 year,5,6 or more,1,0,4,5 or more,False,True,3 or more,4 or more,False,0,2 or more,True,False,False,False,False,False,False,False,False,False,False,False,2,3,2,0,12.71428571,0.285714298,0.0,0.285714298,0.142857149,0.0,0.0,False,True,True,False,False,0,0,0
M,BLACK,48 or older,10,False,2.0,Standard,Less than HS diploma,0,Drug,Less than 1 year,10 or more,6 or more,1,5 or more,4,4,False,False,3 or more,4 or more,False,3 or more,1,True,False,False,False,False,True,False,False,False,True,False,True,4 or more,1,1,2,27.72727273,0.0,0.227272734,0.0,0.0,0.654098361,0.598770492,True,False,False,False,False,0,0,0
