AgeatRelease1822,PriorArrestEpisodesDrughigh,PriorConvictionEpisodesFelonyhigh,JobsPerYear,AvgDaysperDrugTest
0,0,1,0.447610294,612.0
0,0,1,2.0,35.66666667
0,0,1,0.0,93.66666667
0,0,1,0.718996063,25.4
0,0,0,0.929389313,23.11764706
0,0,0,0.30783818,474.6
0,0,1,0.0,238.5
0,0,0,0.525161754,34.775
0,0,0,0.0,29.525558338
0,0,1,1.0,27.8
0,0,0,3.413551402,42.8
0,0,1,0.0,8.04
0,0,1,0.0,98.75
0,0,0,0.61283557,74.5
0,0,1,2.0,114.5
0,0,1,0.464694656,43.66666667
0,0,0,0.320394737,228.0
0,1,0,3.196936543,22.85
0,1,1,0.931760204,196.0
0,0,1,1.0,31.0
0,0,1,0.0,43.14285714
0,0,0,0.204392837,357.4
1,0,0,0.0,1087.0
0,0,1,1.0,23.8
0,0,1,0.0,101.0
0,1,0,0.0,44.625
0,0,1,0.0,12.71428571
0,0,1,0.598770492,27.72727273
0,0,0,0.0,71.06666667
0,0,1,1.0,13.16666667
0,0,0,1.0,83.799515302
0,0,1,1.0,16.28571429
0,0,0,2.0,136.5
0,0,1,0.0,145.5
0,0,0,1.288359788,25.77272727
0,0,0,0.433274021,16.86
0,0,0,1.493865031,97.8
0,0,1,2.0,109.3333333
0,0,1,2.292364017,50.31578947
0,1,1,0.326991943,33.84848485
0,0,1,0.0,58.670020849
1,0,1,2.091125954,15.87878788
0,0,1,0.34135514,36.89655172
0,0,0,0.0,858.0
0,0,0,2.0,29.142946218
0,0,0,0.0,115.7142857
0,1,1,0.343280075,532.0
0,1,1,0.0,12.21621622
0,1,0,0.24645749,78.0
0,1,0,0.897420147,135.6666667
0,0,0,0.550075301,33.2
0,0,1,0.285574668,159.875
0,0,1,0.0,22.5
0,0,0,1.808168317,89.77777778
0,0,0,0.453914664,344.8571429
0,0,1,0.999771898,78.28571429
0,0,0,0.221632282,68.66666667
0,0,1,0.0,120.6
0,0,1,1.0,70.5
0,0,1,0.0,398.0
0,0,1,0.562788906,34.15789474
0,1,1,0.953655352,95.75
0,0,1,0.597790507,55.54545455
0,0,0,0.574292453,33.47368421
0,0,1,1.0,32.2
0,0,1,0.0,471.5
0,1,0,0.527056277,69.3
0,0,0,1.634228188,37.25
0,0,0,0.920025189,132.3333333
0,0,1,0.984501348,185.5
0,0,1,0.244969819,372.75
0,0,0,1.004814305,33.04545455
0,0,0,0.550904977,33.15
0,0,0,0.951171875,25.6
0,0,0,1.423976608,34.2
0,0,0,1.0,7.857142857
0,0,1,0.295748988,137.2222222
0,0,0,2.0,30.6
0,1,0,3.0,40.25
0,1,1,0.0,43.57142857
0,0,0,0.951171875,38.4
0,1,1,1.0,23.73333333
0,0,0,0.444884287,164.2
0,0,1,1.0,23.0
0,0,1,1.0,95.33333333
0,0,1,0.0,24.73333333
0,0,0,0.0,117.0
0,0,1,0.366349047,142.4285714
0,0,1,1.0,66.8
0,1,1,0.379283489,64.2
0,0,1,0.0,36.75
0,0,1,0.375,121.75
0,0,1,0.239980289,50.73333333
0,0,1,2.0,10.1
0,0,0,1.626948775,74.83333333
0,0,0,1.383522727,55.57894737
0,0,1,0.507997218,47.93333333
0,0,1,0.699043062,37.32142857
0,0,0,0.906327543,80.6
0,0,1,2.0,10.4
0,0,1,0.73937247,19.76
0,0,1,0.16489842,123.0555556
0,0,1,2.320099819,9.752212389
0,0,0,2.0,120.758746432
0,1,0,2.0,13.6
0,0,1,0.0,68.875
0,0,1,0.767331933,3.152317881
0,0,0,1.350277264,45.08333333
0,0,0,2.0,10.48148148
0,0,1,0.0,13.3902439
0,0,0,1.0,35.75
0,0,1,0.0,91.254274385
0,0,1,1.0,17.3
0,0,0,0.0,231.0
0,0,1,2.0,70.2
0,0,1,0.296469156,246.4
0,0,0,0.366349047,34.37931034
0,0,0,0.0,171.319209259
0,0,1,0.0,170.75
0,0,0,1.0,7.375
0,0,1,3.0,7.4
0,0,1,1.858778626,17.86363636
0,0,1,2.0,36.33333333
0,0,1,0.431227863,141.1666667
0,0,0,0.0,47.7
0,0,0,0.792299349,35.46153846
0,0,1,1.777372263,15.22222222
0,1,1,3.35862069,62.14285714
0,0,0,0.0,62.8
0,0,1,0.450369914,101.375
0,0,1,0.0,32.83333333
0,0,1,0.286246082,17.97183099
0,0,0,0.0,146.474658288
0,0,1,1.183315335,92.6
0,0,0,1.0,55.0
0,1,1,0.0,115.7142857
0,0,1,2.0,22.23076923
0,0,1,0.0,81.5
0,1,0,0.700607417,173.7777778
0,0,0,1.995901639,30.5
0,0,1,1.892487047,53.285320005
0,1,0,2.0,19.0
0,1,1,2.1915,83.33333333
0,0,1,0.0,96.0
0,1,0,0.0,137.2
0,0,0,3.0,22.5
0,0,0,1.0,86.33333333
0,0,0,2.102158273,46.33333333
0,0,0,0.460302457,37.78571429
0,0,0,1.0,17.66666667
0,1,1,0.285351563,182.8571429
0,0,1,0.442727273,75.0
0,0,1,1.0,20.2
0,0,0,1.0,8.454545455
0,0,0,1.238135593,196.6666667
0,0,1,0.0,31.4
0,0,0,0.462927757,35.86363636
