,Gender_F,Race_BLACK,Age_at_Release_18-22,Age_at_Release_23-27,Age_at_Release_28-32,Age_at_Release_33-37,Age_at_Release_38-42,Age_at_Release_43-47,Age_at_Release_48 or older,Gang_Affiliated,Prior_Arrest_Episodes_Felony_high,Prior_Arrest_Episodes_Property_high,Prior_Arrest_Episodes_Drug_high,Prior_Conviction_Episodes_Felony_high,Percent_Days_Employed,Jobs_Per_Year,Avg_Days_per_DrugTest,DrugTests_Cocaine_Positive,Delinquency_Reports_high,Supervision_Risk_Score_First,Recidivism_Within_3years
Gender_F,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0
Race_BLACK,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0
Age_at_Release_18-22,1.0,1.0,0.0,0.95,0.95,0.9,0.75,0.55,0.8,0.9,0.85,0.2,0.85,1.0,1.0,0.35,0.7,0.75,0.45,0.5,0.9
Age_at_Release_23-27,0.7,1.0,0.05,0.0,0.5,0.15,0.0,0.0,0.1,0.7,0.85,0.5,0.85,1.0,0.95,0.15,0.75,0.85,0.2,0.35,0.9
Age_at_Release_28-32,0.55,0.95,0.05,0.5,0.0,0.25,0.15,0.05,0.2,0.7,0.65,0.55,0.6,1.0,0.85,0.1,0.4,0.05,0.0,0.75,0.75
Age_at_Release_33-37,0.2,0.85,0.1,0.85,0.75,0.0,0.4,0.15,0.45,0.05,0.15,0.65,0.1,1.0,0.0,0.0,0.2,0.1,0.0,0.9,0.7
Age_at_Release_38-42,0.4,0.05,0.25,1.0,0.85,0.6,0.0,0.25,0.65,0.15,0.1,1.0,0.0,0.8,0.0,0.0,0.05,0.1,0.0,0.95,0.45
Age_at_Release_43-47,0.55,0.1,0.45,1.0,0.95,0.85,0.75,0.0,0.85,0.95,0.1,0.9,0.0,0.2,0.25,0.05,0.15,0.9,0.0,1.0,0.45
Age_at_Release_48 or older,0.15,0.05,0.2,0.9,0.8,0.55,0.35,0.15,0.0,0.8,0.15,0.9,0.0,0.15,0.1,0.65,0.4,0.95,0.1,1.0,0.9
Gang_Affiliated,0.0,0.9,0.1,0.05,0.2,0.25,0.2,0.05,0.2,0.0,0.2,0.0,0.2,0.1,0.6,0.4,0.55,0.0,0.65,0.2,0.65
Prior_Arrest_Episodes_Felony_high,0.8,0.0,0.15,0.0,0.1,0.15,0.15,0.15,0.15,0.3,0.0,0.65,0.75,0.4,0.9,0.1,0.0,0.2,0.75,0.55,0.85
Prior_Arrest_Episodes_Property_high,0.85,0.1,0.05,0.0,0.05,0.0,0.0,0.0,0.0,0.05,0.35,0.0,0.65,0.05,0.65,0.0,0.0,0.8,0.2,0.8,0.85
Prior_Arrest_Episodes_Drug_high,0.85,0.9,0.15,0.05,0.1,0.15,0.15,0.1,0.15,0.05,0.25,0.35,0.0,0.25,0.2,0.35,0.0,0.0,0.15,0.45,0.25
Prior_Conviction_Episodes_Felony_high,0.8,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.6,0.95,0.75,0.0,0.2,0.1,0.0,0.95,0.9,0.75,0.85
Percent_Days_Employed,1.0,0.9,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.25,0.1,0.15,0.15,0.0,0.0,0.1,0.0,0.9,0.1,0.0,0.0
Jobs_Per_Year,0.0,0.75,0.0,0.0,0.0,0.05,0.0,0.1,0.35,0.25,0.1,0.0,0.4,0.05,0.9,0.0,0.4,0.0,0.55,0.1,0.75
Avg_Days_per_DrugTest,0.95,0.9,0.15,0.1,0.0,0.1,0.1,0.05,0.2,0.35,0.05,0.0,0.0,0.0,0.0,0.6,0.0,0.3,0.45,0.0,0.1
DrugTests_Cocaine_Positive,0.05,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.1
Delinquency_Reports_high,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.25,0.0,0.05,0.05,0.9,0.45,0.55,1.0,0.0,0.0,0.6
Supervision_Risk_Score_First,1.0,0.15,0.2,0.05,0.1,0.1,0.05,0.0,0.0,0.8,0.45,0.2,0.45,0.25,0.1,0.45,0.0,0.9,1.0,0.0,1.0
Recidivism_Within_3years,1.0,0.8,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.15,0.15,0.15,0.1,1.0,0.25,0.15,0.55,0.15,0.0,0.0
