,Gender_F,Race_BLACK,Age_at_Release_18-22,Age_at_Release_23-27,Age_at_Release_28-32,Age_at_Release_33-37,Age_at_Release_38-42,Age_at_Release_43-47,Age_at_Release_48 or older,Gang_Affiliated,Prior_Arrest_Episodes_Felony_high,Prior_Arrest_Episodes_Property_high,Prior_Arrest_Episodes_Drug_high,Prior_Conviction_Episodes_Felony_high,Percent_Days_Employed,Jobs_Per_Year,Avg_Days_per_DrugTest,DrugTests_Cocaine_Positive,Delinquency_Reports_high,Supervision_Risk_Score_First,Recidivism_Within_3years
Gender_F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.64810083621618,0.0,0.0,0.0,0.0
Race_BLACK,-1.1915388366143977,0.0,-0.30078897492557183,0.0,0.0,-0.4021095940014185,-0.7778446737096558,-0.9142953394708664,-0.80212654573263,-0.32713647611718577,0.0,-0.8137233657118597,-0.6895990358509193,-0.5418464283036991,0.0,0.0,17.900012600104525,0.0,-0.3066469141201273,0.0,0.0
Age_at_Release_18-22,0.0,0.0,0.0,-0.5201450659463853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17.474269446587382,0.0,0.0,0.6585194741742552,0.0
Age_at_Release_23-27,0.0,0.0,-1.0307493038774005,0.0,-1.4666409736199622,-1.1672693539869432,-0.706221138083424,-0.46359722280363624,-0.34683864514550494,0.0,0.0,-0.6006969195445898,-0.38102706296274985,-0.8152431493708128,0.0,0.0,-13.10843210353773,0.0,0.0,0.41503767244633916,0.0
Age_at_Release_28-32,0.0,0.0,-0.4398232542057802,-1.2406785379335998,0.0,-1.2235194714042428,-0.5805205643850229,-0.3402354246671459,-0.30888240609929885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.7455827041986036,0.0,0.0,0.0,0.0
Age_at_Release_33-37,0.0,0.0,0.0,-0.7231554128451949,-1.1013544102478972,0.0,-0.36324064536338363,0.0,-0.2673774340593664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1509531036037897,0.0,0.0,-0.5049671373891093,0.0
Age_at_Release_38-42,0.0,0.0,0.0,0.0,-0.32792473472929523,-0.32363058059768635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.873242200288836,0.0,0.0,-1.0782047279535425,0.0
Age_at_Release_43-47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.451389497365417,0.0,0.0,-1.557842765942462,0.0
Age_at_Release_48 or older,0.0,0.0,0.0,0.0,-0.2671098618954695,-0.4166103011788401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.261480396067254,0.0,0.0,-2.7105318120284934,0.0
Gang_Affiliated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.604757641986016,0.0,0.0,0.7525681835432212,0.0
Prior_Arrest_Episodes_Felony_high,-0.7650511264405553,0.0,-2.0512755709220274,-0.7868821506903627,-0.30907982056691696,0.0,-0.5219941858580317,-0.6251958354748515,-0.43059016239792997,-1.109369776804053,0.0,0.0,-0.41916788712569675,0.0,0.0,0.0,-3.917370032857328,0.0,0.0,0.35574504816593616,0.388281210497904
Prior_Arrest_Episodes_Property_high,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8187385693944423,0.0,0.0,0.5678139819569615,0.0,0.0,-0.26299605468055587,0.0,0.0,0.7116727088759176,0.0
Prior_Arrest_Episodes_Drug_high,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.9944677021493429,0.0,0.0,0.0,0.0
Prior_Conviction_Episodes_Felony_high,0.0,0.0,0.0,-0.5554554078993152,0.0,0.0,0.0,0.0,0.0,0.0,1.2690273353555557,0.37277411486495055,0.0,0.0,0.0,0.0,1.5173375745235809,0.0,0.0,0.0,0.0
Percent_Days_Employed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1577180800187552,0.4974033165378442,0.0,0.0,0.0,-0.5952715256853365
Jobs_Per_Year,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27990263241325636,0.0,-23.08327766900874,0.0,0.0,0.0,0.0
Avg_Days_per_DrugTest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DrugTests_Cocaine_Positive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.692124575901275,0.0,0.0,0.0,0.0
Delinquency_Reports_high,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16.16321527746651,0.0,0.0,0.0,0.0
Supervision_Risk_Score_First,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2838879751452603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42163145575980465,0.0,0.0,0.0,0.0
Recidivism_Within_3years,-0.7262813367112915,0.0,0.0,0.0,0.0,0.0,-0.6029759733638769,-0.7993293477450987,-1.1493470939927473,0.0,0.3954708938097689,-0.37945875031474813,-0.7160197315149854,-0.33382911383553543,0.0,0.0,4.731022541133355,0.0,0.0,0.0,0.0
