,Gender_F,Race_BLACK,Age_at_Release_18-22,Age_at_Release_23-27,Age_at_Release_28-32,Age_at_Release_33-37,Age_at_Release_38-42,Age_at_Release_43-47,Age_at_Release_48 or older,Gang_Affiliated,Prior_Arrest_Episodes_Felony_high,Prior_Arrest_Episodes_Property_high,Prior_Arrest_Episodes_Drug_high,Prior_Conviction_Episodes_Felony_high,Percent_Days_Employed,Jobs_Per_Year,Avg_Days_per_DrugTest,DrugTests_Cocaine_Positive,Delinquency_Reports_high,Supervision_Risk_Score_First,Recidivism_Within_3years
Gender_F,0.0,0.95,0.95,0.3,0.0,0.0,0.0,0.0,0.0,0.35,0.05,0.05,0.0,0.0,0.0,0.0,0.5,0.0,0.7,0.0,0.85
Race_BLACK,0.05,0.0,0.45,0.6,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.35,0.1,0.0,1.0,0.8,1.0,1.0,0.05,0.0,0.05
Age_at_Release_18-22,0.0,0.45,0.0,0.95,1.0,1.0,1.0,1.0,1.0,0.7,1.0,0.0,0.45,1.0,0.0,0.0,0.1,0.25,0.0,0.2,0.35
Age_at_Release_23-27,0.0,0.3,0.05,0.0,1.0,1.0,1.0,1.0,1.0,0.25,0.9,0.05,0.6,0.9,0.0,0.0,0.65,0.8,0.0,0.2,0.4
Age_at_Release_28-32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.2,0.0
Age_at_Release_33-37,0.0,0.0,0.0,0.0,1.0,0.0,0.95,0.7,1.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.25,0.0,0.8,0.0
Age_at_Release_38-42,0.0,0.0,0.0,0.0,1.0,0.05,0.0,0.65,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.15,0.0,0.8,0.0
Age_at_Release_43-47,0.0,0.0,0.0,0.0,1.0,0.3,0.35,0.0,1.0,0.05,0.0,0.9,0.0,0.65,0.0,0.0,0.0,0.05,0.0,0.8,0.1
Age_at_Release_48 or older,0.0,0.1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.25,0.0,0.9,0.0,0.0,0.05,1.0,0.0,0.15,0.0,1.0,0.2
Gang_Affiliated,0.0,0.15,0.3,0.75,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.7,0.2,0.9,0.0,0.9
Prior_Arrest_Episodes_Felony_high,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.05,0.65,0.6,0.35,0.2
Prior_Arrest_Episodes_Property_high,0.05,0.1,0.0,0.05,0.0,0.05,0.0,0.05,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.15,0.15,0.05,0.9,0.2
Prior_Arrest_Episodes_Drug_high,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.05,0.0,0.0,0.0,0.1,0.0,0.0,0.0
Prior_Conviction_Episodes_Felony_high,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.3,1.0,0.0,0.0,1.0,0.9,0.0,0.0,0.0,0.0,0.15,0.1,0.0,0.0
Percent_Days_Employed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0
Jobs_Per_Year,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.5,0.0,0.0,0.0,0.0
Avg_Days_per_DrugTest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.5,0.0,0.0,0.0,0.0,0.0
DrugTests_Cocaine_Positive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Delinquency_Reports_high,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.4,0.0,0.0,0.0,1.0,0.9,0.95,1.0,0.0,0.0,0.0
Supervision_Risk_Score_First,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0
Recidivism_Within_3years,0.05,0.0,0.05,0.45,0.0,0.05,0.0,0.0,0.0,0.1,0.8,0.2,0.0,0.0,1.0,0.85,0.7,1.0,0.0,0.0,0.0
