TP,FP,FN,TN,SHD,TPR,FPR,FDR,scenario,dataset,algo,skel_TP,skel_FP,skel_FN,skel_TN,skel_SHD,skel_TPR,skel_FPR,skel_FDR,orient_TP,orient_FP,orient_FN,orient_TN,orient_SHD,orient_TPR,orient_FPR,orient_FDR
2.0,8.0,7.0,32.0,15.0,0.2222222222222222,0.2,0.8,casual_effect,device_failure_data,dagbagm,,,,,,,,,,,,,,,,
3.0,4.0,6.0,36.0,10.0,0.3333333333333333,0.1,0.5714285714285714,casual_effect,student_tutoring_data,dagbagm,,,,,,,,,,,,,,,,
2.0,2.0,1.0,11.0,3.0,0.6666666666666666,0.1538461538461538,0.5,causal_direction_iv,clinical_trial_sem,dagbagm,,,,,,,,,,,,,,,,
3.0,1.0,0.0,12.0,1.0,1.0,0.0769230769230769,0.25,causal_direction_iv,ecommerce_sem,dagbagm,,,,,,,,,,,,,,,,
2.0,2.0,1.0,11.0,3.0,0.6666666666666666,0.1538461538461538,0.5,causal_direction_iv,environment_sem,dagbagm,,,,,,,,,,,,,,,,
2.0,2.0,1.0,11.0,3.0,0.6666666666666666,0.1538461538461538,0.5,causal_direction_iv,marketing_sem,dagbagm,,,,,,,,,,,,,,,,
1.0,4.0,3.0,8.0,7.0,0.25,0.3333333333333333,0.8,counterfactual_reasoning,climate_impact_sem,dagbagm,,,,,,,,,,,,,,,,
1.0,4.0,3.0,8.0,7.0,0.25,0.3333333333333333,0.8,counterfactual_reasoning,clinical_trial_sem,dagbagm,,,,,,,,,,,,,,,,
1.0,4.0,3.0,8.0,7.0,0.25,0.3333333333333333,0.8,counterfactual_reasoning,education_performance_sem,dagbagm,,,,,,,,,,,,,,,,
1.0,4.0,3.0,8.0,7.0,0.25,0.3333333333333333,0.8,counterfactual_reasoning,investment_outcome_sem,dagbagm,,,,,,,,,,,,,,,,
1.0,4.0,3.0,8.0,7.0,0.25,0.3333333333333333,0.8,counterfactual_reasoning,manufacturing_quality_sem,dagbagm,,,,,,,,,,,,,,,,
1.0,1.0,1.0,6.0,2.0,0.5,0.1428571428571428,0.5,dag_structure_markequi,dag_structure_markequi_sem,dagbagm,,,,,,,,,,,,,,,,
1.0,1.0,1.0,6.0,2.0,0.5,0.1428571428571428,0.5,dag_structure_markequi,sleep_alertness_productivity,dagbagm,,,,,,,,,,,,,,,,
2.0,0.0,0.0,7.0,0.0,1.0,0.0,0.0,dag_structure_markequi,study_comprehension_testscore,dagbagm,,,,,,,,,,,,,,,,
0.0,2.0,2.0,5.0,4.0,0.0,0.2857142857142857,1.0,dag_structure_markequi,web_traffic_revenue,dagbagm,,,,,,,,,,,,,,,,
2.0,0.0,3.0,11.0,3.0,0.4,0.0,0.0,domain_shift,arthritis_trial,dagbagm,,,,,,,,,,,,,,,,
2.0,0.0,3.0,11.0,3.0,0.4,0.0,0.0,domain_shift,cardio_trial,dagbagm,,,,,,,,,,,,,,,,
2.0,0.0,3.0,11.0,3.0,0.4,0.0,0.0,domain_shift,cholesterol_trial,dagbagm,,,,,,,,,,,,,,,,
2.0,0.0,3.0,11.0,3.0,0.4,0.0,0.0,domain_shift,diabetes_trial,dagbagm,,,,,,,,,,,,,,,,
2.0,0.0,3.0,11.0,3.0,0.4,0.0,0.0,domain_shift,domain_shift_sem,dagbagm,,,,,,,,,,,,,,,,
6.0,4.0,2.0,37.0,6.0,0.75,0.0975609756097561,0.4,mediation_outcome_confounder,exercise_intervention_study,dagbagm,,,,,,,,,,,,,,,,
