TP,FP,FN,TN,SHD,TPR,FPR,FDR,scenario,dataset,algo
2,8,7,32,15,0.2222222222222222,0.2,0.8,casual_effect,device_failure_data,dagbagm
3,4,6,36,10,0.3333333333333333,0.1,0.5714285714285714,casual_effect,student_tutoring_data,dagbagm
2,2,1,11,3,0.6666666666666666,0.15384615384615385,0.5,causal_direction_iv,clinical_trial_sem,dagbagm
3,1,0,12,1,1.0,0.07692307692307693,0.25,causal_direction_iv,ecommerce_sem,dagbagm
2,2,1,11,3,0.6666666666666666,0.15384615384615385,0.5,causal_direction_iv,environment_sem,dagbagm
2,2,1,11,3,0.6666666666666666,0.15384615384615385,0.5,causal_direction_iv,marketing_sem,dagbagm
1,4,3,8,7,0.25,0.3333333333333333,0.8,counterfactual_reasoning,climate_impact_sem,dagbagm
1,4,3,8,7,0.25,0.3333333333333333,0.8,counterfactual_reasoning,clinical_trial_sem,dagbagm
1,4,3,8,7,0.25,0.3333333333333333,0.8,counterfactual_reasoning,education_performance_sem,dagbagm
1,4,3,8,7,0.25,0.3333333333333333,0.8,counterfactual_reasoning,investment_outcome_sem,dagbagm
1,4,3,8,7,0.25,0.3333333333333333,0.8,counterfactual_reasoning,manufacturing_quality_sem,dagbagm
1,1,1,6,2,0.5,0.14285714285714285,0.5,dag_structure_markequi,dag_structure_markequi_sem,dagbagm
1,1,1,6,2,0.5,0.14285714285714285,0.5,dag_structure_markequi,sleep_alertness_productivity,dagbagm
2,0,0,7,0,1.0,0.0,0.0,dag_structure_markequi,study_comprehension_testscore,dagbagm
0,2,2,5,4,0.0,0.2857142857142857,1.0,dag_structure_markequi,web_traffic_revenue,dagbagm
2,0,3,11,3,0.4,0.0,0.0,domain_shift,arthritis_trial,dagbagm
2,0,3,11,3,0.4,0.0,0.0,domain_shift,cardio_trial,dagbagm
2,0,3,11,3,0.4,0.0,0.0,domain_shift,cholesterol_trial,dagbagm
2,0,3,11,3,0.4,0.0,0.0,domain_shift,diabetes_trial,dagbagm
2,0,3,11,3,0.4,0.0,0.0,domain_shift,domain_shift_sem,dagbagm
6,4,2,37,6,0.75,0.0975609756097561,0.4,mediation_outcome_confounder,exercise_intervention_study,dagbagm
4,7,4,34,11,0.5,0.17073170731707318,0.6363636363636364,mediation_outcome_confounder,language_learning_study,dagbagm
5,7,3,34,10,0.625,0.17073170731707318,0.5833333333333334,mediation_outcome_confounder,nutrition_program_study,dagbagm
2,0,1,6,1,0.6666666666666666,0.0,0.0,moderation_effect,arthritis_pain_reduction,dagbagm
2,0,1,6,1,0.6666666666666666,0.0,0.0,moderation_effect,depression_symptom_reduction,dagbagm
2,0,1,6,1,0.6666666666666666,0.0,0.0,moderation_effect,hypertension_bp_reduction,dagbagm
2,0,1,6,1,0.6666666666666666,0.0,0.0,moderation_effect,infection_bacteria_reduction,dagbagm
3,0,0,6,0,1.0,0.0,0.0,moderation_effect,moderation_effect_sem,dagbagm
2,1,1,12,2,0.6666666666666666,0.07692307692307693,0.3333333333333333,necessity_sufficiency,bridge_integrity,dagbagm
3,0,0,13,0,1.0,0.0,0.0,necessity_sufficiency,factory_monitoring,dagbagm
2,1,1,12,2,0.6666666666666666,0.07692307692307693,0.3333333333333333,necessity_sufficiency,network_health,dagbagm
3,0,0,13,0,1.0,0.0,0.0,necessity_sufficiency,patient_recovery,dagbagm
3,0,0,13,0,1.0,0.0,0.0,necessity_sufficiency,stress_sem,dagbagm
5,7,11,41,18,0.3125,0.14583333333333334,0.5833333333333334,sequential_mediator,sequential_mediation_dataset,dagbagm
6,1,3,26,4,0.6666666666666666,0.037037037037037035,0.14285714285714285,treatment_mediator,economic_stimulus,dagbagm
5,2,4,25,6,0.5555555555555556,0.07407407407407407,0.2857142857142857,treatment_mediator,education_subsidy_policy,dagbagm
4,1,5,26,6,0.4444444444444444,0.037037037037037035,0.2,treatment_mediator,infrastructure_spending_policy,dagbagm
4,1,5,26,6,0.4444444444444444,0.037037037037037035,0.2,treatment_mediator,job_training_policy,dagbagm
5,2,4,25,6,0.5555555555555556,0.07407407407407407,0.2857142857142857,treatment_mediator,tax_incentive_policy,dagbagm
