TP,FP,FN,TN,SHD,TPR,FPR,FDR,scenario,dataset,algo
2,11,7,29,18,0.2222222222222222,0.275,0.8461538461538461,casual_effect,device_failure_data,dagslam
9,26,0,14,26,1.0,0.65,0.7428571428571429,casual_effect,student_tutoring_data,dagslam
3,1,0,12,1,1.0,0.07692307692307693,0.25,causal_direction_iv,clinical_trial_sem,dagslam
2,7,1,6,8,0.6666666666666666,0.5384615384615384,0.7777777777777778,causal_direction_iv,ecommerce_sem,dagslam
2,7,1,6,8,0.6666666666666666,0.5384615384615384,0.7777777777777778,causal_direction_iv,environment_sem,dagslam
3,6,0,7,6,1.0,0.46153846153846156,0.6666666666666666,causal_direction_iv,marketing_sem,dagslam
0,3,4,9,7,0.0,0.25,1.0,counterfactual_reasoning,climate_impact_sem,dagslam
0,3,4,9,7,0.0,0.25,1.0,counterfactual_reasoning,clinical_trial_sem,dagslam
0,3,4,9,7,0.0,0.25,1.0,counterfactual_reasoning,education_performance_sem,dagslam
0,3,4,9,7,0.0,0.25,1.0,counterfactual_reasoning,investment_outcome_sem,dagslam
0,3,4,9,7,0.0,0.25,1.0,counterfactual_reasoning,manufacturing_quality_sem,dagslam
2,0,0,7,0,1.0,0.0,0.0,dag_structure_markequi,dag_structure_markequi_sem,dagslam
2,0,0,7,0,1.0,0.0,0.0,dag_structure_markequi,sleep_alertness_productivity,dagslam
2,0,0,7,0,1.0,0.0,0.0,dag_structure_markequi,study_comprehension_testscore,dagslam
2,0,0,7,0,1.0,0.0,0.0,dag_structure_markequi,web_traffic_revenue,dagslam
4,5,1,6,6,0.8,0.45454545454545453,0.5555555555555556,domain_shift,arthritis_trial,dagslam
4,5,1,6,6,0.8,0.45454545454545453,0.5555555555555556,domain_shift,cardio_trial,dagslam
3,4,2,7,6,0.6,0.36363636363636365,0.5714285714285714,domain_shift,cholesterol_trial,dagslam
4,4,1,7,5,0.8,0.36363636363636365,0.5,domain_shift,diabetes_trial,dagslam
4,1,1,10,2,0.8,0.09090909090909091,0.2,domain_shift,domain_shift_sem,dagslam
6,7,2,34,9,0.75,0.17073170731707318,0.5384615384615384,mediation_outcome_confounder,exercise_intervention_study,dagslam
6,7,2,34,9,0.75,0.17073170731707318,0.5384615384615384,mediation_outcome_confounder,language_learning_study,dagslam
7,8,1,33,9,0.875,0.1951219512195122,0.5333333333333333,mediation_outcome_confounder,nutrition_program_study,dagslam
3,1,0,5,1,1.0,0.16666666666666666,0.25,moderation_effect,arthritis_pain_reduction,dagslam
3,1,0,5,1,1.0,0.16666666666666666,0.25,moderation_effect,depression_symptom_reduction,dagslam
3,0,0,6,0,1.0,0.0,0.0,moderation_effect,hypertension_bp_reduction,dagslam
3,0,0,6,0,1.0,0.0,0.0,moderation_effect,infection_bacteria_reduction,dagslam
3,0,0,6,0,1.0,0.0,0.0,moderation_effect,moderation_effect_sem,dagslam
0,0,3,13,3,0.0,0.0,,necessity_sufficiency,bridge_integrity,dagslam
0,0,3,13,3,0.0,0.0,,necessity_sufficiency,factory_monitoring,dagslam
0,0,3,13,3,0.0,0.0,,necessity_sufficiency,network_health,dagslam
0,0,3,13,3,0.0,0.0,,necessity_sufficiency,patient_recovery,dagslam
0,0,3,13,3,0.0,0.0,,necessity_sufficiency,stress_sem,dagslam
7,7,9,41,16,0.4375,0.14583333333333334,0.5,sequential_mediator,sequential_mediation_dataset,dagslam
5,6,4,21,10,0.5555555555555556,0.2222222222222222,0.5454545454545454,treatment_mediator,education_subsidy_policy,dagslam
