skel_TP,skel_FP,skel_FN,skel_TN,skel_SHD,skel_TPR,skel_FPR,skel_FDR,orient_TP,orient_FP,orient_FN,orient_TN,orient_SHD,orient_TPR,orient_FPR,orient_FDR,scenario,dataset,algo
10,6,8,25,14,0.5555555555555556,0.1935483870967742,0.375,4,2,12,0,14,0.25,1.0,0.3333333333333333,casual_effect,device_failure_data,fci
6,8,12,23,20,0.3333333333333333,0.25806451612903225,0.5714285714285714,0,4,14,0,18,0.0,1.0,1.0,casual_effect,student_tutoring_data,fci
6,2,0,8,2,1.0,0.2,0.25,4,0,2,0,2,0.6666666666666666,,0.0,causal_direction_iv,clinical_trial_sem,fci
4,0,2,10,2,0.6666666666666666,0.0,0.0,0,0,6,0,6,0.0,,,causal_direction_iv,ecommerce_sem,fci
0,4,6,6,10,0.0,0.4,1.0,0,0,6,0,6,0.0,,,causal_direction_iv,environment_sem,fci
4,0,2,10,2,0.6666666666666666,0.0,0.0,0,0,6,0,6,0.0,,,causal_direction_iv,marketing_sem,fci
6,0,2,8,2,0.75,0.0,0.0,0,0,8,0,8,0.0,,,counterfactual_reasoning,climate_impact_sem,fci
6,2,2,6,4,0.75,0.25,0.25,4,2,2,0,4,0.6666666666666666,1.0,0.3333333333333333,counterfactual_reasoning,clinical_trial_sem,fci
6,2,2,6,4,0.75,0.25,0.25,4,2,2,0,4,0.6666666666666666,1.0,0.3333333333333333,counterfactual_reasoning,education_performance_sem,fci
8,2,0,6,2,1.0,0.25,0.2,2,2,4,0,6,0.3333333333333333,1.0,0.5,counterfactual_reasoning,investment_outcome_sem,fci
6,2,2,6,4,0.75,0.25,0.25,4,2,2,0,4,0.6666666666666666,1.0,0.3333333333333333,counterfactual_reasoning,manufacturing_quality_sem,fci
4,0,0,5,0,1.0,0.0,0.0,0,0,4,0,4,0.0,,,dag_structure_markequi,dag_structure_markequi_sem,fci
4,0,0,5,0,1.0,0.0,0.0,0,0,4,0,4,0.0,,,dag_structure_markequi,sleep_alertness_productivity,fci
4,0,0,5,0,1.0,0.0,0.0,0,0,4,0,4,0.0,,,dag_structure_markequi,study_comprehension_testscore,fci
4,0,0,5,0,1.0,0.0,0.0,0,0,4,0,4,0.0,,,dag_structure_markequi,web_traffic_revenue,fci
4,0,6,6,6,0.4,0.0,0.0,4,0,6,0,6,0.4,,0.0,domain_shift,arthritis_trial,fci
4,0,6,6,6,0.4,0.0,0.0,4,0,6,0,6,0.4,,0.0,domain_shift,cardio_trial,fci
4,0,6,6,6,0.4,0.0,0.0,4,0,6,0,6,0.4,,0.0,domain_shift,cholesterol_trial,fci
4,0,6,6,6,0.4,0.0,0.0,4,0,6,0,6,0.4,,0.0,domain_shift,diabetes_trial,fci
4,0,6,6,6,0.4,0.0,0.0,4,0,6,0,6,0.4,,0.0,domain_shift,domain_shift_sem,fci
10,2,6,31,8,0.625,0.06060606060606061,0.16666666666666666,4,2,10,0,12,0.2857142857142857,1.0,0.3333333333333333,mediation_outcome_confounder,exercise_intervention_study,fci
10,2,6,31,8,0.625,0.06060606060606061,0.16666666666666666,8,0,8,0,8,0.5,,0.0,mediation_outcome_confounder,language_learning_study,fci
12,4,4,29,8,0.75,0.12121212121212122,0.25,12,0,4,0,4,0.75,,0.0,mediation_outcome_confounder,nutrition_program_study,fci
4,0,2,3,2,0.6666666666666666,0.0,0.0,4,0,2,0,2,0.6666666666666666,,0.0,moderation_effect,arthritis_pain_reduction,fci
4,0,2,3,2,0.6666666666666666,0.0,0.0,4,0,2,0,2,0.6666666666666666,,0.0,moderation_effect,depression_symptom_reduction,fci
4,0,2,3,2,0.6666666666666666,0.0,0.0,4,0,2,0,2,0.6666666666666666,,0.0,moderation_effect,hypertension_bp_reduction,fci
4,0,2,3,2,0.6666666666666666,0.0,0.0,4,0,2,0,2,0.6666666666666666,,0.0,moderation_effect,infection_bacteria_reduction,fci
6,0,0,3,0,1.0,0.0,0.0,0,0,6,0,6,0.0,,,moderation_effect,moderation_effect_sem,fci
6,0,0,10,0,1.0,0.0,0.0,6,0,0,0,0,1.0,,0.0,necessity_sufficiency,bridge_integrity,fci
6,0,0,10,0,1.0,0.0,0.0,6,0,0,0,0,1.0,,0.0,necessity_sufficiency,factory_monitoring,fci
6,0,0,10,0,1.0,0.0,0.0,6,0,0,0,0,1.0,,0.0,necessity_sufficiency,network_health,fci
6,0,0,10,0,1.0,0.0,0.0,6,0,0,0,0,1.0,,0.0,necessity_sufficiency,patient_recovery,fci
6,0,0,10,0,1.0,0.0,0.0,6,0,0,0,0,1.0,,0.0,necessity_sufficiency,stress_sem,fci
12,4,20,28,24,0.375,0.125,0.25,8,0,24,0,24,0.25,,0.0,sequential_mediator,sequential_mediation_dataset,fci
8,2,10,16,12,0.4444444444444444,0.1111111111111111,0.2,4,2,12,0,14,0.25,1.0,0.3333333333333333,treatment_mediator,economic_stimulus,fci
6,4,12,14,16,0.3333333333333333,0.2222222222222222,0.4,2,0,16,0,16,0.1111111111111111,,0.0,treatment_mediator,education_subsidy_policy,fci
8,2,10,16,12,0.4444444444444444,0.1111111111111111,0.2,4,2,12,0,14,0.25,1.0,0.3333333333333333,treatment_mediator,infrastructure_spending_policy,fci
8,2,10,16,12,0.4444444444444444,0.1111111111111111,0.2,8,0,10,0,10,0.4444444444444444,,0.0,treatment_mediator,job_training_policy,fci
8,2,10,16,12,0.4444444444444444,0.1111111111111111,0.2,4,2,12,0,14,0.25,1.0,0.3333333333333333,treatment_mediator,tax_incentive_policy,fci
