TP,FP,FN,TN,SHD,TPR,FPR,FDR,scenario,dataset,algo
3,4,6,36,10,0.3333333333333333,0.1,0.5714285714285714,casual_effect,device_failure_data,hc
3,4,6,36,10,0.3333333333333333,0.1,0.5714285714285714,casual_effect,student_tutoring_data,hc
3,1,0,12,1,1.0,0.07692307692307693,0.25,causal_direction_iv,clinical_trial_sem,hc
3,1,0,12,1,1.0,0.07692307692307693,0.25,causal_direction_iv,ecommerce_sem,hc
2,2,1,11,3,0.6666666666666666,0.15384615384615385,0.5,causal_direction_iv,environment_sem,hc
3,1,0,12,1,1.0,0.07692307692307693,0.25,causal_direction_iv,marketing_sem,hc
3,2,1,10,3,0.75,0.16666666666666666,0.4,counterfactual_reasoning,climate_impact_sem,hc
3,2,1,10,3,0.75,0.16666666666666666,0.4,counterfactual_reasoning,clinical_trial_sem,hc
3,2,1,10,3,0.75,0.16666666666666666,0.4,counterfactual_reasoning,education_performance_sem,hc
3,2,1,10,3,0.75,0.16666666666666666,0.4,counterfactual_reasoning,investment_outcome_sem,hc
3,2,1,10,3,0.75,0.16666666666666666,0.4,counterfactual_reasoning,manufacturing_quality_sem,hc
2,0,0,7,0,1.0,0.0,0.0,dag_structure_markequi,dag_structure_markequi_sem,hc
2,0,0,7,0,1.0,0.0,0.0,dag_structure_markequi,sleep_alertness_productivity,hc
2,0,0,7,0,1.0,0.0,0.0,dag_structure_markequi,study_comprehension_testscore,hc
2,0,0,7,0,1.0,0.0,0.0,dag_structure_markequi,web_traffic_revenue,hc
2,0,3,11,3,0.4,0.0,0.0,domain_shift,arthritis_trial,hc
2,0,3,11,3,0.4,0.0,0.0,domain_shift,cardio_trial,hc
2,0,3,11,3,0.4,0.0,0.0,domain_shift,cholesterol_trial,hc
2,0,3,11,3,0.4,0.0,0.0,domain_shift,diabetes_trial,hc
2,0,3,11,3,0.4,0.0,0.0,domain_shift,domain_shift_sem,hc
6,4,2,37,6,0.75,0.0975609756097561,0.4,mediation_outcome_confounder,exercise_intervention_study,hc
5,7,3,34,10,0.625,0.17073170731707318,0.5833333333333334,mediation_outcome_confounder,language_learning_study,hc
5,7,3,34,10,0.625,0.17073170731707318,0.5833333333333334,mediation_outcome_confounder,nutrition_program_study,hc
2,0,1,6,1,0.6666666666666666,0.0,0.0,moderation_effect,arthritis_pain_reduction,hc
2,0,1,6,1,0.6666666666666666,0.0,0.0,moderation_effect,depression_symptom_reduction,hc
2,0,1,6,1,0.6666666666666666,0.0,0.0,moderation_effect,hypertension_bp_reduction,hc
2,0,1,6,1,0.6666666666666666,0.0,0.0,moderation_effect,infection_bacteria_reduction,hc
3,0,0,6,0,1.0,0.0,0.0,moderation_effect,moderation_effect_sem,hc
2,1,1,12,2,0.6666666666666666,0.07692307692307693,0.3333333333333333,necessity_sufficiency,bridge_integrity,hc
3,0,0,13,0,1.0,0.0,0.0,necessity_sufficiency,factory_monitoring,hc
2,1,1,12,2,0.6666666666666666,0.07692307692307693,0.3333333333333333,necessity_sufficiency,network_health,hc
3,0,0,13,0,1.0,0.0,0.0,necessity_sufficiency,patient_recovery,hc
3,0,0,13,0,1.0,0.0,0.0,necessity_sufficiency,stress_sem,hc
4,7,12,41,19,0.25,0.14583333333333334,0.6363636363636364,sequential_mediator,sequential_mediation_dataset,hc
3,3,6,24,9,0.3333333333333333,0.1111111111111111,0.5,treatment_mediator,economic_stimulus,hc
5,2,4,25,6,0.5555555555555556,0.07407407407407407,0.2857142857142857,treatment_mediator,education_subsidy_policy,hc
6,1,3,26,4,0.6666666666666666,0.037037037037037035,0.14285714285714285,treatment_mediator,infrastructure_spending_policy,hc
3,1,6,26,7,0.3333333333333333,0.037037037037037035,0.25,treatment_mediator,job_training_policy,hc
6,1,3,26,4,0.6666666666666666,0.037037037037037035,0.14285714285714285,treatment_mediator,tax_incentive_policy,hc
