TP,FP,FN,TN,SHD,TPR,FPR,FDR,scenario,dataset,algo
5,8,4,32,12,0.5555555555555556,0.2,0.6153846153846154,casual_effect,device_failure_data,lim
4,5,5,35,10,0.4444444444444444,0.125,0.5555555555555556,casual_effect,student_tutoring_data,lim
2,2,1,11,3,0.6666666666666666,0.15384615384615385,0.5,causal_direction_iv,clinical_trial_sem,lim
3,5,0,8,5,1.0,0.38461538461538464,0.625,causal_direction_iv,ecommerce_sem,lim
2,4,1,9,5,0.6666666666666666,0.3076923076923077,0.6666666666666666,causal_direction_iv,environment_sem,lim
1,3,2,10,5,0.3333333333333333,0.23076923076923078,0.75,causal_direction_iv,marketing_sem,lim
2,2,2,10,4,0.5,0.16666666666666666,0.5,counterfactual_reasoning,climate_impact_sem,lim
1,3,3,9,6,0.25,0.25,0.75,counterfactual_reasoning,clinical_trial_sem,lim
1,3,3,9,6,0.25,0.25,0.75,counterfactual_reasoning,education_performance_sem,lim
1,4,3,8,7,0.25,0.3333333333333333,0.8,counterfactual_reasoning,investment_outcome_sem,lim
1,3,3,9,6,0.25,0.25,0.75,counterfactual_reasoning,manufacturing_quality_sem,lim
2,0,0,7,0,1.0,0.0,0.0,dag_structure_markequi,dag_structure_markequi_sem,lim
2,0,0,7,0,1.0,0.0,0.0,dag_structure_markequi,sleep_alertness_productivity,lim
2,0,0,7,0,1.0,0.0,0.0,dag_structure_markequi,study_comprehension_testscore,lim
2,0,0,7,0,1.0,0.0,0.0,dag_structure_markequi,web_traffic_revenue,lim
0,3,5,8,8,0.0,0.2727272727272727,1.0,domain_shift,arthritis_trial,lim
0,3,5,8,8,0.0,0.2727272727272727,1.0,domain_shift,cardio_trial,lim
0,3,5,8,8,0.0,0.2727272727272727,1.0,domain_shift,cholesterol_trial,lim
0,3,5,8,8,0.0,0.2727272727272727,1.0,domain_shift,diabetes_trial,lim
3,2,2,9,4,0.6,0.18181818181818182,0.4,domain_shift,domain_shift_sem,lim
5,5,3,36,8,0.625,0.12195121951219512,0.5,mediation_outcome_confounder,exercise_intervention_study,lim
7,3,1,38,4,0.875,0.07317073170731707,0.3,mediation_outcome_confounder,language_learning_study,lim
7,4,1,37,5,0.875,0.0975609756097561,0.36363636363636365,mediation_outcome_confounder,nutrition_program_study,lim
3,0,0,6,0,1.0,0.0,0.0,moderation_effect,arthritis_pain_reduction,lim
1,1,2,5,3,0.3333333333333333,0.16666666666666666,0.5,moderation_effect,depression_symptom_reduction,lim
2,1,1,5,2,0.6666666666666666,0.16666666666666666,0.3333333333333333,moderation_effect,hypertension_bp_reduction,lim
3,3,0,3,3,1.0,0.5,0.5,moderation_effect,infection_bacteria_reduction,lim
2,0,1,6,1,0.6666666666666666,0.0,0.0,moderation_effect,moderation_effect_sem,lim
1,2,2,11,4,0.3333333333333333,0.15384615384615385,0.6666666666666666,necessity_sufficiency,bridge_integrity,lim
1,2,2,11,4,0.3333333333333333,0.15384615384615385,0.6666666666666666,necessity_sufficiency,factory_monitoring,lim
1,2,2,11,4,0.3333333333333333,0.15384615384615385,0.6666666666666666,necessity_sufficiency,network_health,lim
1,2,2,11,4,0.3333333333333333,0.15384615384615385,0.6666666666666666,necessity_sufficiency,patient_recovery,lim
1,2,2,11,4,0.3333333333333333,0.15384615384615385,0.6666666666666666,necessity_sufficiency,stress_sem,lim
6,6,10,42,16,0.375,0.125,0.5,sequential_mediator,sequential_mediation_dataset,lim
6,5,3,22,8,0.6666666666666666,0.18518518518518517,0.45454545454545453,treatment_mediator,economic_stimulus,lim
5,5,4,22,9,0.5555555555555556,0.18518518518518517,0.5,treatment_mediator,education_subsidy_policy,lim
5,5,4,22,9,0.5555555555555556,0.18518518518518517,0.5,treatment_mediator,infrastructure_spending_policy,lim
5,5,4,22,9,0.5555555555555556,0.18518518518518517,0.5,treatment_mediator,job_training_policy,lim
6,6,3,21,9,0.6666666666666666,0.2222222222222222,0.5,treatment_mediator,tax_incentive_policy,lim
