TP,FP,FN,TN,SHD,TPR,FPR,FDR,scenario,dataset,algo
1,10,8,30,18,0.1111111111111111,0.25,0.9090909090909091,casual_effect,device_failure_data,rex
3,1,6,39,7,0.3333333333333333,0.025,0.25,casual_effect,student_tutoring_data,rex
0,2,3,11,5,0.0,0.15384615384615385,1.0,causal_direction_iv,clinical_trial_sem,rex
0,0,3,13,3,0.0,0.0,,causal_direction_iv,ecommerce_sem,rex
1,1,2,12,3,0.3333333333333333,0.07692307692307693,0.5,causal_direction_iv,environment_sem,rex
0,3,3,10,6,0.0,0.23076923076923078,1.0,causal_direction_iv,marketing_sem,rex
0,2,4,10,6,0.0,0.16666666666666666,1.0,counterfactual_reasoning,climate_impact_sem,rex
1,1,3,11,4,0.25,0.08333333333333333,0.5,counterfactual_reasoning,clinical_trial_sem,rex
0,2,4,10,6,0.0,0.16666666666666666,1.0,counterfactual_reasoning,education_performance_sem,rex
0,2,4,10,6,0.0,0.16666666666666666,1.0,counterfactual_reasoning,investment_outcome_sem,rex
1,1,3,11,4,0.25,0.08333333333333333,0.5,counterfactual_reasoning,manufacturing_quality_sem,rex
0,2,2,5,4,0.0,0.2857142857142857,1.0,dag_structure_markequi,dag_structure_markequi_sem,rex
1,1,1,6,2,0.5,0.14285714285714285,0.5,dag_structure_markequi,sleep_alertness_productivity,rex
1,1,1,6,2,0.5,0.14285714285714285,0.5,dag_structure_markequi,study_comprehension_testscore,rex
1,1,1,6,2,0.5,0.14285714285714285,0.5,dag_structure_markequi,web_traffic_revenue,rex
3,0,2,11,2,0.6,0.0,0.0,domain_shift,arthritis_trial,rex
3,0,2,11,2,0.6,0.0,0.0,domain_shift,cardio_trial,rex
3,0,2,11,2,0.6,0.0,0.0,domain_shift,cholesterol_trial,rex
1,2,4,9,6,0.2,0.18181818181818182,0.6666666666666666,domain_shift,diabetes_trial,rex
2,1,3,10,4,0.4,0.09090909090909091,0.3333333333333333,domain_shift,domain_shift_sem,rex
4,4,4,37,8,0.5,0.0975609756097561,0.5,mediation_outcome_confounder,exercise_intervention_study,rex
1,6,7,35,13,0.125,0.14634146341463414,0.8571428571428571,mediation_outcome_confounder,language_learning_study,rex
1,6,7,35,13,0.125,0.14634146341463414,0.8571428571428571,mediation_outcome_confounder,nutrition_program_study,rex
2,0,1,6,1,0.6666666666666666,0.0,0.0,moderation_effect,arthritis_pain_reduction,rex
1,1,2,5,3,0.3333333333333333,0.16666666666666666,0.5,moderation_effect,depression_symptom_reduction,rex
0,2,3,4,5,0.0,0.3333333333333333,1.0,moderation_effect,hypertension_bp_reduction,rex
1,1,2,5,3,0.3333333333333333,0.16666666666666666,0.5,moderation_effect,infection_bacteria_reduction,rex
2,0,1,6,1,0.6666666666666666,0.0,0.0,moderation_effect,moderation_effect_sem,rex
1,2,2,11,4,0.3333333333333333,0.15384615384615385,0.6666666666666666,necessity_sufficiency,bridge_integrity,rex
0,3,3,10,6,0.0,0.23076923076923078,1.0,necessity_sufficiency,factory_monitoring,rex
0,3,3,10,6,0.0,0.23076923076923078,1.0,necessity_sufficiency,network_health,rex
0,2,3,11,5,0.0,0.15384615384615385,1.0,necessity_sufficiency,patient_recovery,rex
0,3,3,10,6,0.0,0.23076923076923078,1.0,necessity_sufficiency,stress_sem,rex
1,5,15,43,20,0.0625,0.10416666666666667,0.8333333333333334,sequential_mediator,sequential_mediation_dataset,rex
0,6,9,21,15,0.0,0.2222222222222222,1.0,treatment_mediator,economic_stimulus,rex
3,5,6,22,11,0.3333333333333333,0.18518518518518517,0.625,treatment_mediator,education_subsidy_policy,rex
2,4,7,23,11,0.2222222222222222,0.14814814814814814,0.6666666666666666,treatment_mediator,infrastructure_spending_policy,rex
3,4,6,23,10,0.3333333333333333,0.14814814814814814,0.5714285714285714,treatment_mediator,job_training_policy,rex
1,5,8,22,13,0.1111111111111111,0.18518518518518517,0.8333333333333334,treatment_mediator,tax_incentive_policy,rex
